"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Alamein',","9,","1,'","Molly Rodiguez',","20200101,","22861.6,",22);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Alamein',","10,","2,'","Shirely Engel',","20200101,","22861.6,",6);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","105,","4,'","Justine Doubleday',","20200101,","70841.2,",40);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","106,","6,'","Bruna Pogue',","20200101,","70841.2,",24);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","107,","7,'","Sheilah Cimmino',","20200101,","70841.2,",8);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","108,","9,'","Edythe Defrancisco',","20200101,","70841.2,",42);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","109,","12,'","Dina Perdomo',","20200101,","70841.2,",26);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","110,","14,'","Evelina Provost',","20200101,","70841.2,",10);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Glen Waverley',","309,","17,'","Mable Songer',","20200101,","20924.9,",15);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Glen Waverley',","310,","19,'","Truman Coursey',","20200101,","20924.9,",49);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Lilydale',","409,","20,'","Brynn Shouse',","20200101,","33692.1,",33);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Lilydale',","410,","22,'","Dayna Freed',","20200101,","33692.1,",17);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","503,","25,'","Ayesha Mcgee',","20200101,","90856.4,",1);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","504,","27,'","Milly Teston',","20200101,","90856.4,",35);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","505,","30,'","Hulda Tharrington',","20200101,","90856.4,",19);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","506,","32,'","Hyo Krier',","20200101,","90856.4,",3);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","507,","33,'","Trinidad Yokoyama',","20200101,","90856.4,",37);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","508,","35,'","Mercy Feth',","20200101,","90856.4,",21);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","509,","37,'","Kacey Brewton',","20200101,","90856.4,",5);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sandringham',","510,","38,'","Brock Trevino',","20200101,","90856.4,",10);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sunbury',","605,","40,'","Ramiro Yandell',","20200101,","60918.9,",44);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sunbury',","606,","43,'","Yuko Etter',","20200101,","60918.9,",28);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sunbury',","607,","45,'","Brant Logsdon',","20200101,","60918.9,",12);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sunbury',","608,","48,'","Israel Nunemaker',","20200101,","60918.9,",46);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sunbury',","609,","50,'","Misty Mcneese',","20200101,","60918.9,",30);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Sunbury',","610,","51,'","Raymond Gahagan',","20200101,","60918.9,",14);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Werribee',","705,","53,'","Temeka Scola',","20200101,","65262.3,",19);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Werribee',","706,","56,'","Kip Sagucio',","20200101,","65262.3,",3);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Werribee',","707,","58,'","Lorina Willaims',","20200101,","65262.3,",37);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Alamein',","9,","2,'","Evelina Provost',","20200102,","22861.6,",12);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Alamein',","10,","3,'","Daisy Parsley',","20200102,","22861.6,",25);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Alamein',","11,","5,'","Daisy Parsley',","20200102,","22861.6,",9);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Alamein',","12,","6,'","Tien Giel',","20200102,","22861.6,",43);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","105,","7,'","Pearlene Folger',","20200102,","70841.2,",48);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","106,","8,'","Daisy Parsley',","20200102,","70841.2,",32);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","107,","10,'","Dayna Freed',","20200102,","70841.2,",16);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","108,","11,'","Daisy Parsley',","20200102,","70841.2,",0);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","109,","12,'","Jene Satter',","20200102,","70841.2,",34);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","110,","13,'","Daisy Parsley',","20200102,","70841.2,",18);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","111,","15,'","Milly Teston',","20200102,","70841.2,",2);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Craigieburn',","112,","16,'","Daisy Parsley',","20200102,","70841.2,",7);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Mernda',","211,","18,'","Daisy Parsley',","20200102,","18857,",41);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Mernda',","212,","20,'","Hyo Krier',","20200102,","18857,",25);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Glen Waverley',","309,","21,'","Daisy Parsley',","20200102,","20924.9,",9);
"insert into journey(line,service_no,vehicle_id,driver_name,date,distance,delay) values ('","Glen Waverley',","310,","23,'","Daisy Parsley',","20200102,","20924.9,",43);
