"insert into Driver(driver_name,password,current_position, phone, skills) values ('","Sawyer','","MWE39GNZ1UA','","4','","16790928 4619',","['Ganzmovac','Gulliver']);"
,"Drake','","OYM69FPC0YS','","NA','","16150421 2257',",['Gulliver']);
,"Ralph','","ZFX81NBF4PV','","Diggers Rest','","16221124 1274',",['Kiwirail']);
,"Sawyer','","DUS94GVJ8XS','","7','","16290418 6240',","['Mantagi','Gulliver']);"
,"Donovan','","ERQ87MWF2AM','","Williams Landing','","16800921 4290',","['Ganzmovac','Gulliver']);"
,"Amal','","GZI83LDV0FA','","NA','","16690408 5518',",['Gulliver']);
,"Francis','","WBK19CCC3GI','","Laverton','","16840914 7124',",['Kiwirail']);
,"Burke','","GPO02VXH9WQ','","15','","16611205 7945',","['Mantagi','Gulliver']);"
,"Josiah','","CZE84LTT0IL','","Keilor Plains','","16250302 2754',","['Ganzmovac','Gulliver']);"
,"Howard','","LZA88ZHJ2RY','","NA','","16430523 3258',",['Gulliver']);
,"Xenos','","AXG72GNK0NA','","Ginifer','","16110905 0813',","['Mantagi','Gulliver']);"
,"Jerome','","IAJ49JEH0BE','","22','","16100108 3649',","['Ganzmovac','Gulliver']);"
,"Davis','","QIV65ONM2IT','","NA','","16441215 5964',",['Gulliver']);
,"Knox','","QLH55JZX4NT','","Altona','","16790216 5484',",['Kiwirail']);
,"Richard','","LCJ95CHL1VX','","Sunshine','","16561021 5989',","['Mantagi','Gulliver']);"
,"Armando','","XDB36NCL7JX','","Seaholme','","16511124 7382',","['Ganzmovac','Gulliver']);"
,"Sean','","YSQ09EIA8YC','","NA','","16911110 5707',",['Gulliver']);
,"Emery','","UQE39HVP5YP','","Newport','","16880916 1972',",['Kiwirail']);
,"Ignatius','","MOZ65CKY8UX','","2','","16041029 4748',","['Mantagi','Gulliver']);"
,"Tanek','","IYR09NCD6CT','","NA','","16531214 7019',","['Ganzmovac','Gulliver']);"
,"George','","CYU62NOW6WL','","North Williamstown','","16340401 2670',",['Gulliver']);
,"Hamilton','","YSI82QJI9IL','","10','","16761215 8308',",['Kiwirail']);
,"Craig','","UDT38SGP0HS','","Middle Footscray','","16490521 1449',","['Mantagi','Gulliver']);"
,"Kennedy','","IVQ21QOD2JN','","NA','","16121116 0575',","['Ganzmovac','Gulliver']);"
,"Hop','","QKY61BPX4CE','","Seddon','","16220804 9573',",['Kiwirail']);
,"Tad','","APW83TOE2DT','","Footscray','","16290612 4892',","['Mantagi','Gulliver']);"
,"Harding','","BEO43WFG7DO','","NA','","16461013 9471',","['Ganzmovac','Gulliver']);"
